port_id,name,country,lat,lon,size_class
1,Singapore,Singapore,1.2644,103.8400,L
2,Tanjung Pelepas,Malaysia,1.3623,103.5500,L
3,Johor Bahru (Pasir Gudang),Malaysia,1.4380,103.9020,M
4,Batam (Batu Ampar),Indonesia,1.1730,104.0080,M
5,Port Klang,Malaysia,3.0000,101.4000,L
6,Tanjung Priok (Jakarta),Indonesia,-6.1045,106.8865,L
7,Laem Chabang,Thailand,13.0830,100.8830,L
8,Ho Chi Minh City,Vietnam,10.7710,106.7050,L
9,Manila,Philippines,14.5833,120.9667,L
10,Hong Kong,China,22.3000,114.1700,L
11,Shenzhen (Yantian),China,22.5770,114.2650,L
12,Guangzhou,China,23.0980,113.4970,L
13,Shanghai,China,31.2304,121.4737,L
14,Ningbo-Zhoushan,China,29.8683,121.5440,L
15,Qingdao,China,36.0670,120.3830,L
16,Tianjin,China,38.9860,117.7530,L
17,Busan,South Korea,35.1000,129.0400,L
18,Kaohsiung,Taiwan,22.6160,120.2810,L
19,Tokyo,Japan,35.6100,139.7790,L
20,Yokohama,Japan,35.4437,139.6380,L
21,Colombo,Sri Lanka,6.9500,79.8450,L
22,Mumbai (JNPT),India,18.9500,72.9500,L
23,Dubai (Jebel Ali),UAE,25.0110,55.0610,L
24,Suez Canal (Port Said),Egypt,31.2565,32.2841,L
25,Rotterdam,Netherlands,51.9500,4.1400,L
26,Antwerp,Belgium,51.2600,4.3800,L
27,Hamburg,Germany,53.5400,9.9800,L
28,Felixstowe,United Kingdom,51.9540,1.3080,L
29,Algeciras,Spain,36.1300,-5.4400,L
30,Piraeus,Greece,37.9420,23.6460,L
31,Los Angeles,United States,33.7290,-118.2620,L
32,Long Beach,United States,33.7540,-118.2160,L
33,New York / New Jersey,United States,40.6680,-74.0450,L
34,Houston,United States,29.7300,-95.2500,L
35,Savannah,United States,32.0810,-81.0910,L
36,Seattle-Tacoma,United States,47.5800,-122.3500,L
37,Santos,Brazil,-23.9820,-46.2990,L
38,Panama (Balboa),Panama,8.9620,-79.5670,L
39,Durban,South Africa,-29.8700,31.0300,L
40,Sydney (Port Botany),Australia,-33.9700,151.2200,L
